entidad_nombre,contratista_nombre,ct.id,ct.dias_adicionados,ct.valor,ct.valor_b,ct.objeto
Municipio De San Luis,Empresa De Desarrollo Urbano De La Ceja,CO1.PCCNTR.4483402,1151,5462275271.0,0.0,CONTRATO INTERADMINISTRATIVO POR  ADMINISTRACION DELEGADA PARA LA CONSTRUCCION E INTERVENTORIA DEL PLAN MAESTRO DE ALCANTARILLADO ETAPA III EN EL MUNICIPIO DE SAN LUIS; ANTIOQUIA  SEGUN CONVENIO INTERADMINISTRATIVO  DE ASOCIACION 22AS113B757 SUSCRITO ENTRE EL DEPARTAMENTO DE ANTIOQUIA   GERENCIA DE 
Departamento De Antioquia//,Distrito Especial De Ciencia Tecnologia E Innovacion De Medellin,CO1.PCCNTR.3964522,1150,520551140.0,0.0,Entregar a título de comodato al Distrito Especial de Ciencia Tecnología e Innovación de Medellín; inmueble propiedad del Departamento de Antioquia; ubicado en la calle 30 A N° 31-04 en el municipio de Medellín; identificado con la matrícula inmobiliaria N° 001-263809.
Departamento De Antioquia//,Distrito Especial De Ciencia Tecnologia E Innovacion De Medellin,CO1.PCCNTR.3964707,1150,786038660.0,0.0,Entregar a título de comodato al Distrito Especial de Ciencia Tecnología e Innovación de Medellín; inmueble propiedad del Departamento de Antioquia; ubicado en la calle 110 A # 76C -20 en el municipio de Medellín; identificado con la matrícula inmobiliaria N° 01N-328543.
Gobierno Departamental,Empresa Generadora De Energía Del Tolima S.A. E.S.P.,CO1.PCCNTR.1584647,1110,594377373.0,0.0,CONTRATAR ENTRE EL DEPARTAMENTO DEL TOLIMA Y LA EMPRESA GENERADORA DE ENERGÍA DEL TOLIMA EGETSA SA E.S.P CONSTRUCCIÓN DE LA ELECTRIFICACION RURAL DE LA RED DE MEDIA Y BAJA TENSIÓN EN LAS VEREDAS SAN PEDRO Y LAS MORAS DEL MUNICIPIO DE ATACO EN EL DEPARTAMENTO DEL TOLIMA
Minciencias,Universidad De La Sabana,CO1.PCCNTR.1566426,1103,3192000000.0,0.0,Aunar esfuerzos para la formación de docentes y directivos docentes; y realizar la gestión académica y financiera de los créditos educativos condonables de los candidatos elegibles para la Maestría en Pedagogía y Maestría en Dirección y Gestión de instituciones Educativas de las convocatorias realiz
Alcaldia Municipio De Dosquebradas,Junta De Acción Comunal Los Molinos,CO1.PCCNTR.4552206,1096,178626000.0,0.0,ENTREGAR A TÍTULO DE COMODATO O PRÉSTAMO DE USO; UN BIEN INMUEBLE CASETA COMUNAL DE PROPIEDAD DEL MUNICIPIO DE DOSQUEBRADAS IDNETIFICADO CON MATRICULA INMOBILIARIA No 294-14422 Y CON FICHA CATASTRAL 01-03-0097-0013-000 UBICADO EN EL BARRIO LOS MOLINOS EN LA C 43 23-12 MZ 29 CS 27; PARA LA ATENCION D
Fiscalía General De La Nación Nivel Central.,Colombia Telecomunicaciones S.A. Esp Bic,CO1.PCCNTR.3868429,1096,340085952.0,0.0,El ARRENDADOR (FISCALIA GENERAL DE LA NACIÓN) entrega al ARRENDATARIO (COLOMBIA TELECOMUNICACIONES S.A E.S.P); a título de arrendamiento; dos (2) espacios de 2;25 metros cuadrados cada uno; ubicados en la estructura de la cubierta de la azotea del edificio L y un (1) espacio de cuatro (4) metros cua
Gobernación Del Cauca,Municipio De La Sierra Cauca,CO1.PCCNTR.4304301,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE LA SIERRA (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA.
Gobernación Del Cauca,Alcaldia Municipio De Totoro,CO1.PCCNTR.4529809,1096,378698430.0,0.0,El Departamento del Cauca se obliga con el Municipio de Totoró (Cauca) a entregar en calidad de comodato vehículo y maquinaria agrícola
Gobernación Del Cauca,Municipio De Cajibio,CO1.PCCNTR.4354396,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE CAJIBIO (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA
Gobernación Del Cauca,Alcaldia Municipio De Caldono,CO1.PCCNTR.4354169,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO CALDONO (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA.
Gobernación Del Cauca,Municipio De Timbio,CO1.PCCNTR.4263767,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE TIMBIO (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA
Gobernación Del Cauca,Alcaldia Municipio De Santa Rosa Cauca,CO1.PCCNTR.4264316,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE SANTA ROSA (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA.
Gobernación Del Cauca,Municipio De Almaguer,CO1.PCCNTR.4354156,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE ALMAGUER (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA
Gobernación Del Cauca,Alcaldía Municipal De Buenos Aires Cauca,CO1.PCCNTR.4345615,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE BUENOS AIRES (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA.
Gobernación Del Cauca,Alcaldia Municipio De Suarez Cauca,CO1.PCCNTR.4280254,1096,378698430.0,0.0,EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE SUÁREZ (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO VEHÍCULO Y MAQUINARIA AGRÍCOLA.
Gobernación Del Cauca,Alcaldia De Florencia Cauca,CO1.PCCNTR.4352967,1096,378698430.0,0.0,"EL DEPARTAMENTO DEL CAUCA SE OBLIGA CON EL MUNICIPIO DE
FLORENCIA (CAUCA) A ENTREGAR EN CALIDAD DE COMODATO
VEHÍCULO Y MAQUINARIA AGRÍCOLA."
Instituto Financiero Para El Desarrollo Del Huila,Banco Agrario De Colombia S.A.,CO1.PCCNTR.5169107,1096,3000000000.0,0.0,CONVENIO INTERINSTITUCIONAL DE TASA COMPENSADA ENTRE INFIHUILA Y EL BANCO AGRARIO DE COLOMBIA S.A PARA IMPLEMENTAR LA ATENCIÓN DE LOS MICROEMPRESARIOS A TRAVÉS DEL PORTAFOLIO DE PRODUCTOS DEL BANCO.
Agencia Para La Reincorporación Y La Normalización,Instituto Colombiano De Credito Educativo Y Estudio Técnicos En El Exterior Mariano Ospina Perez.,CO1.PCCNTR.6662857,1095,154500000.0,0.0,"Constituir y regular un Fondo en Administración denominado FONDO EN 
ADMINISTRACIÓN ICETEX - ARN; con los recursos girados por la ARN al ICETEX quien actuará como administrador - mandatario; destinados a financiar créditos educativos condonables para las y los empleados de la Entidad de acuerdo con "
